Fund Holdings as of,"27/Aug/2020"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"XOM","EXXON MOBIL CORP","Equity","0.58","39.74","5,858,319.00","232,809,597.06","232,809,597.06","Energy","US30231G1022","New York Stock Exchange Inc.","United States","USD"
"ABBV","ABBVIE INC","Equity","0.57","94.30","2,441,788.00","230,260,608.40","230,260,608.40","Health Care","US00287Y1091","New York Stock Exchange Inc.","United States","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.57","420.53","547,211.00","230,118,641.83","230,118,641.83","Health Care","US8835561023","New York Stock Exchange Inc.","United States","USD"
"CVX","CHEVRON CORP","Equity","0.55","84.91","2,586,760.00","219,641,791.60","219,641,791.60","Energy","US1667641005","New York Stock Exchange Inc.","United States","USD"
"MCD","MCDONALDS CORP","Equity","0.55","212.19","1,030,222.00","218,602,806.18","218,602,806.18","Consumer Discretionary","US5801351017","New York Stock Exchange Inc.","United States","USD"
"ACN","ACCENTURE PLC CLASS A","Equity","0.53","240.87","882,619.00","212,596,438.53","212,596,438.53","Information Technology","IE00B4BNMY34","New York Stock Exchange Inc.","United States","USD"
"COST","COSTCO WHOLESALE CORP","Equity","0.53","346.36","611,741.00","211,882,612.76","211,882,612.76","Consumer Staples","US22160K1051","NASDAQ","United States","USD"
"AMGN","AMGEN INC","Equity","0.51","252.81","815,036.00","206,049,251.16","206,049,251.16","Health Care","US0311621009","NASDAQ","United States","USD"
"MDT","MEDTRONIC PLC","Equity","0.50","106.86","1,858,102.00","198,556,779.72","198,556,779.72","Health Care","IE00BTN1Y115","New York Stock Exchange Inc.","United States","USD"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.49","62.51","3,135,027.00","195,970,537.77","195,970,537.77","Health Care","US1101221083","New York Stock Exchange Inc.","United States","USD"
"NKE","NIKE INC CLASS B","Equity","0.48","110.84","1,718,088.00","190,432,873.92","190,432,873.92","Consumer Discretionary","US6541061031","New York Stock Exchange Inc.","United States","USD"
"NEE","NEXTERA ENERGY INC","Equity","0.47","278.88","678,150.00","189,122,472.00","189,122,472.00","Utilities","US65339F1012","New York Stock Exchange Inc.","United States","USD"
"AVGO","BROADCOM INC","Equity","0.47","339.14","553,924.00","187,857,785.36","187,857,785.36","Information Technology","US11135F1012","NASDAQ","United States","USD"
"UNP","UNION PACIFIC CORP","Equity","0.46","194.44","940,184.00","182,809,376.96","182,809,376.96","Industrials","US9078181081","New York Stock Exchange Inc.","United States","USD"
"LIN","LINDE PLC","Equity","0.46","250.93","727,660.00","182,591,723.80","182,591,723.80","Materials","IE00BZ12WP82","New York Stock Exchange Inc.","United States","USD"
"QCOM","QUALCOMM INC","Equity","0.45","116.02","1,558,619.00","180,830,976.38","180,830,976.38","Information Technology","US7475251036","NASDAQ","United States","USD"
"TXN","TEXAS INSTRUMENT INC","Equity","0.45","141.49","1,271,601.00","179,918,825.49","179,918,825.49","Information Technology","US8825081040","NASDAQ","United States","USD"
"DHR","DANAHER CORP","Equity","0.44","204.39","871,850.00","178,197,421.50","178,197,421.50","Health Care","US2358511028","New York Stock Exchange Inc.","United States","USD"
"LOW","LOWES COMPANIES INC","Equity","0.43","166.31","1,046,076.00","173,972,899.56","173,972,899.56","Consumer Discretionary","US5486611073","New York Stock Exchange Inc.","United States","USD"
"LLY","ELI LILLY","Equity","0.43","148.97","1,166,884.00","173,830,709.48","173,830,709.48","Health Care","US5324571083","New York Stock Exchange Inc.","United States","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.43","80.00","2,157,458.00","172,596,640.00","172,596,640.00","Consumer Staples","US7181721090","New York Stock Exchange Inc.","United States","USD"
"ORCL","ORACLE CORP","Equity","0.41","57.18","2,883,799.00","164,895,626.82","164,895,626.82","Information Technology","US68389X1054","New York Stock Exchange Inc.","United States","USD"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.40","165.99","972,439.00","161,415,149.61","161,415,149.61","Industrials","US4385161066","New York Stock Exchange Inc.","United States","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.39","160.21","975,579.00","156,297,511.59","156,297,511.59","Industrials","US9113121068","New York Stock Exchange Inc.","United States","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.38","124.65","1,230,200.00","153,344,430.00","153,344,430.00","Information Technology","US4592001014","New York Stock Exchange Inc.","United States","USD"
"AMT","AMERICAN TOWER REIT CORP","Equity","0.38","247.97","614,217.00","152,307,389.49","152,307,389.49","Real Estate","US03027X1000","New York Stock Exchange Inc.","United States","USD"
"C","CITIGROUP INC","Equity","0.37","51.72","2,884,413.00","149,181,840.36","149,181,840.36","Financials","US1729674242","New York Stock Exchange Inc.","United States","USD"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.34","83.80","1,622,716.00","135,983,600.80","135,983,600.80","Information Technology","US0079031078","NASDAQ","United States","USD"
"LMT","LOCKHEED MARTIN CORP","Equity","0.34","395.02","341,921.00","135,065,633.42","135,065,633.42","Industrials","US5398301094","New York Stock Exchange Inc.","United States","USD"
"SBUX","STARBUCKS CORP","Equity","0.34","83.41","1,618,425.00","134,992,829.25","134,992,829.25","Consumer Discretionary","US8552441094","NASDAQ","United States","USD"
"MMM","3M","Equity","0.33","164.08","796,954.00","130,764,212.32","130,764,212.32","Industrials","US88579Y1010","New York Stock Exchange Inc.","United States","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.32","151.20","856,029.00","129,431,584.80","129,431,584.80","Information Technology","US31620M1062","New York Stock Exchange Inc.","United States","USD"
"BA","BOEING","Equity","0.32","174.20","742,799.00","129,395,585.80","129,395,585.80","Industrials","US0970231058","New York Stock Exchange Inc.","United States","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.32","614.29","208,814.00","128,272,352.06","128,272,352.06","Communication","US16119P1084","NASDAQ","United States","USD"
"BLK","BLACKROCK INC","Equity","0.32","594.98","213,730.00","127,165,075.40","127,165,075.40","Financials","US09247X1019","New York Stock Exchange Inc.","United States","USD"
"WFC","WELLS FARGO","Equity","0.32","24.59","5,169,404.00","127,115,644.36","127,115,644.36","Financials","US9497461015","New York Stock Exchange Inc.","United States","USD"
"NOW","SERVICENOW INC","Equity","0.32","480.55","264,223.00","126,972,362.65","126,972,362.65","Information Technology","US81762P1021","New York Stock Exchange Inc.","United States","USD"
"INTU","INTUIT INC","Equity","0.31","345.00","361,305.00","124,650,225.00","124,650,225.00","Information Technology","US4612021034","NASDAQ","United States","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Equity","0.31","60.90","2,037,816.00","124,102,994.40","124,102,994.40","Industrials","US75513E1010","New York Stock Exchange Inc.","United States","USD"
"SPGI","S&P GLOBAL INC","Equity","0.30","363.98","333,773.00","121,486,696.54","121,486,696.54","Financials","US78409V1044","New York Stock Exchange Inc.","United States","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.29","58.13","1,977,799.00","114,969,455.87","114,969,455.87","Consumer Staples","US6092071058","NASDAQ","United States","USD"
"CVS","CVS HEALTH CORP","Equity","0.29","63.39","1,811,011.00","114,799,987.29","114,799,987.29","Health Care","US1266501006","New York Stock Exchange Inc.","United States","USD"
"ISRG","INTUITIVE SURGICAL INC","Equity","0.29","709.39","161,582.00","114,624,654.98","114,624,654.98","Health Care","US46120E6023","NASDAQ","United States","USD"
"GILD","GILEAD SCIENCES INC","Equity","0.28","65.55","1,737,442.00","113,889,323.10","113,889,323.10","Health Care","US3755581036","NASDAQ","United States","USD"
"MO","ALTRIA GROUP INC","Equity","0.28","43.75","2,574,812.00","112,648,025.00","112,648,025.00","Consumer Staples","US02209S1033","New York Stock Exchange Inc.","United States","USD"
"CAT","CATERPILLAR INC","Equity","0.27","143.37","749,901.00","107,513,306.37","107,513,306.37","Industrials","US1491231015","New York Stock Exchange Inc.","United States","USD"
"BKNG","BOOKING HOLDINGS INC","Equity","0.27","1,893.50","56,751.00","107,458,018.50","107,458,018.50","Consumer Discretionary","US09857L1089","NASDAQ","United States","USD"
"ZTS","ZOETIS INC CLASS A","Equity","0.26","159.61","658,042.00","105,030,083.62","105,030,083.62","Health Care","US98978V1035","New York Stock Exchange Inc.","United States","USD"
"PLD","PROLOGIS REIT INC","Equity","0.26","101.90","1,023,323.00","104,276,613.70","104,276,613.70","Real Estate","US74340W1036","New York Stock Exchange Inc.","United States","USD"
"TGT","TARGET CORP","Equity","0.26","150.31","692,915.00","104,152,053.65","104,152,053.65","Consumer Discretionary","US87612E1064","New York Stock Exchange Inc.","United States","USD"
"USD","USD CASH","Cash","0.25","100.00","100,764,617.00","100,764,617.03","100,764,617.03","Cash and/or Derivatives","-","-","United States","USD"
"BDX","BECTON DICKINSON","Equity","0.25","246.57","408,565.00","100,739,872.05","100,739,872.05","Health Care","US0758871091","New York Stock Exchange Inc.","United States","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.25","274.34","359,244.00","98,554,998.96","98,554,998.96","Health Care","US92532F1003","NASDAQ","United States","USD"
"EQIX","EQUINIX REIT INC","Equity","0.24","789.65","122,637.00","96,840,307.05","96,840,307.05","Real Estate","US29444U7000","NASDAQ","United States","USD"
"ANTM","ANTHEM INC","Equity","0.24","274.59","349,319.00","95,919,504.21","95,919,504.21","Health Care","US0367521038","New York Stock Exchange Inc.","United States","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.24","163.42","577,477.00","94,371,291.34","94,371,291.34","Real Estate","US22822V1017","New York Stock Exchange Inc.","United States","USD"
"CL","COLGATE-PALMOLIVE","Equity","0.23","79.06","1,187,065.00","93,849,358.90","93,849,358.90","Consumer Staples","US1941621039","New York Stock Exchange Inc.","United States","USD"
"TMUS","T MOBILE US INC","Equity","0.23","115.24","806,709.00","92,965,145.16","92,965,145.16","Communication","US8725901040","NASDAQ","United States","USD"
"AXP","AMERICAN EXPRESS","Equity","0.23","101.53","914,647.00","92,864,109.91","92,864,109.91","Financials","US0258161092","New York Stock Exchange Inc.","United States","USD"
"DE","DEERE","Equity","0.23","209.83","433,696.00","91,002,431.68","91,002,431.68","Industrials","US2441991054","New York Stock Exchange Inc.","United States","USD"
"D","DOMINION ENERGY INC","Equity","0.23","78.00","1,162,810.00","90,699,180.00","90,699,180.00","Utilities","US25746U1097","New York Stock Exchange Inc.","United States","USD"
"CI","CIGNA CORP","Equity","0.23","177.08","511,230.00","90,528,608.40","90,528,608.40","Health Care","US1255231003","New York Stock Exchange Inc.","United States","USD"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.23","210.15","428,848.00","90,122,407.20","90,122,407.20","Financials","US38141G1040","New York Stock Exchange Inc.","United States","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.22","292.75","306,019.00","89,587,062.25","89,587,062.25","Materials","US0091581068","New York Stock Exchange Inc.","United States","USD"
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.22","83.90","1,067,681.00","89,578,435.90","89,578,435.90","Communication","US00507V1098","NASDAQ","United States","USD"
"TJX","TJX INC","Equity","0.22","53.67","1,659,854.00","89,084,364.18","89,084,364.18","Consumer Discretionary","US8725401090","New York Stock Exchange Inc.","United States","USD"
"CME","CME GROUP INC CLASS A","Equity","0.22","176.45","496,913.00","87,680,298.85","87,680,298.85","Financials","US12572Q1058","NASDAQ","United States","USD"
"SYK","STRYKER CORP","Equity","0.22","196.20","446,623.00","87,627,432.60","87,627,432.60","Health Care","US8636671013","New York Stock Exchange Inc.","United States","USD"
"MS","MORGAN STANLEY","Equity","0.22","52.61","1,659,747.00","87,319,289.67","87,319,289.67","Financials","US6174464486","New York Stock Exchange Inc.","United States","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.21","614.97","139,748.00","85,940,827.56","85,940,827.56","Health Care","US75886F1075","NASDAQ","United States","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.21","141.01","595,673.00","83,995,849.73","83,995,849.73","Information Technology","US0530151036","NASDAQ","United States","USD"
"MMC","MARSH & MCLENNAN INC","Equity","0.20","114.68","707,151.00","81,096,076.68","81,096,076.68","Financials","US5717481023","New York Stock Exchange Inc.","United States","USD"
"DUK","DUKE ENERGY CORP","Equity","0.20","79.55","1,018,392.00","81,013,083.60","81,013,083.60","Utilities","US26441C2044","New York Stock Exchange Inc.","United States","USD"
"CSX","CSX CORP","Equity","0.20","76.19","1,061,043.00","80,840,866.17","80,840,866.17","Industrials","US1264081035","NASDAQ","United States","USD"
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.20","40.78","1,980,431.00","80,761,976.18","80,761,976.18","Health Care","US1011371077","New York Stock Exchange Inc.","United States","USD"
"CB","CHUBB LTD","Equity","0.20","127.76","625,365.00","79,896,632.40","79,896,632.40","Financials","CH0044328745","New York Stock Exchange Inc.","United States","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.20","105.01","758,588.00","79,659,325.88","79,659,325.88","Financials","US45866F1049","New York Stock Exchange Inc.","United States","USD"
"ITW","ILLINOIS TOOL INC","Equity","0.20","198.67","398,535.00","79,176,948.45","79,176,948.45","Industrials","US4523081093","New York Stock Exchange Inc.","United States","USD"
"AMAT","APPLIED MATERIAL INC","Equity","0.20","62.03","1,270,215.00","78,791,436.45","78,791,436.45","Information Technology","US0382221051","NASDAQ","United States","USD"
"GE","GENERAL ELECTRIC","Equity","0.20","6.48","12,125,147.00","78,570,952.56","78,570,952.56","Industrials","US3696041033","New York Stock Exchange Inc.","United States","USD"
"FISV","FISERV INC","Equity","0.19","99.00","779,475.00","77,168,025.00","77,168,025.00","Information Technology","US3377381088","NASDAQ","United States","USD"
"SO","SOUTHERN","Equity","0.19","52.20","1,463,421.00","76,390,576.20","76,390,576.20","Utilities","US8425871071","New York Stock Exchange Inc.","United States","USD"
"PGR","PROGRESSIVE CORP","Equity","0.19","93.31","811,426.00","75,714,160.06","75,714,160.06","Financials","US7433151039","New York Stock Exchange Inc.","United States","USD"
"NSC","NORFOLK SOUTHERN CORP","Equity","0.19","212.85","355,159.00","75,595,593.15","75,595,593.15","Industrials","US6558441084","New York Stock Exchange Inc.","United States","USD"
"SHW","SHERWIN WILLIAMS","Equity","0.19","671.80","111,792.00","75,101,865.60","75,101,865.60","Materials","US8243481061","New York Stock Exchange Inc.","United States","USD"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.19","348.99","214,843.00","74,978,058.57","74,978,058.57","Industrials","US6668071029","New York Stock Exchange Inc.","United States","USD"
"HUM","HUMANA INC","Equity","0.19","407.45","183,274.00","74,674,991.30","74,674,991.30","Health Care","US4448591028","New York Stock Exchange Inc.","United States","USD"
"KMB","KIMBERLY CLARK CORP","Equity","0.18","156.20","472,211.00","73,759,358.20","73,759,358.20","Consumer Staples","US4943681035","New York Stock Exchange Inc.","United States","USD"
"ADSK","AUTODESK INC","Equity","0.18","243.11","303,187.00","73,707,791.57","73,707,791.57","Information Technology","US0527691069","NASDAQ","United States","USD"
"TFC","TRUIST FINANCIAL CORP","Equity","0.18","39.21","1,868,248.00","73,254,004.08","73,254,004.08","Financials","US89832Q1094","New York Stock Exchange Inc.","United States","USD"
"FDX","FEDEX CORP","Equity","0.18","218.21","333,388.00","72,748,595.48","72,748,595.48","Industrials","US31428X1063","New York Stock Exchange Inc.","United States","USD"
"GPN","GLOBAL PAYMENTS INC","Equity","0.18","174.63","414,670.00","72,413,822.10","72,413,822.10","Information Technology","US37940X1028","New York Stock Exchange Inc.","United States","USD"
"NEM","NEWMONT","Equity","0.18","64.76","1,112,575.00","72,050,357.00","72,050,357.00","Materials","US6516391066","New York Stock Exchange Inc.","United States","USD"
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.18","83.70","859,080.00","71,904,996.00","71,904,996.00","Health Care","US28176E1082","New York Stock Exchange Inc.","United States","USD"
"ILMN","ILLUMINA INC","Equity","0.18","351.11","203,792.00","71,553,409.12","71,553,409.12","Health Care","US4523271090","NASDAQ","United States","USD"
"DG","DOLLAR GENERAL CORP","Equity","0.18","201.34","349,044.00","70,276,518.96","70,276,518.96","Consumer Discretionary","US2566771059","New York Stock Exchange Inc.","United States","USD"
"USB","US BANCORP","Equity","0.18","36.94","1,900,442.00","70,202,327.48","70,202,327.48","Financials","US9029733048","New York Stock Exchange Inc.","United States","USD"
"MU","MICRON TECHNOLOGY INC","Equity","0.17","44.62","1,541,472.00","68,780,480.64","68,780,480.64","Information Technology","US5951121038","NASDAQ","United States","USD"
"LRCX","LAM RESEARCH CORP","Equity","0.17","341.45","201,203.00","68,700,764.35","68,700,764.35","Information Technology","US5128071082","NASDAQ","United States","USD"
"ECL","ECOLAB INC","Equity","0.17","197.68","342,898.00","67,784,076.64","67,784,076.64","Materials","US2788651006","New York Stock Exchange Inc.","United States","USD"
"EL","ESTEE LAUDER INC CLASS A","Equity","0.17","216.41","311,754.00","67,466,683.14","67,466,683.14","Consumer Staples","US5184391044","New York Stock Exchange Inc.","United States","USD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.16","112.50","586,694.00","66,003,075.00","66,003,075.00","Financials","US6934751057","New York Stock Exchange Inc.","United States","USD"
"MCO","MOODYS CORP","Equity","0.16","292.16","223,415.00","65,272,926.40","65,272,926.40","Financials","US6153691059","New York Stock Exchange Inc.","United States","USD"
"AON","AON PLC CLASS A","Equity","0.16","199.58","320,423.00","63,950,022.34","63,950,022.34","Financials","IE00BLP1HW54","New York Stock Exchange Inc.","United States","USD"
"BIIB","BIOGEN INC","Equity","0.16","279.26","225,685.00","63,024,793.10","63,024,793.10","Health Care","US09062X1037","NASDAQ","United States","USD"
"ROP","ROPER TECHNOLOGIES INC","Equity","0.15","428.06","144,739.00","61,956,976.34","61,956,976.34","Industrials","US7766961061","New York Stock Exchange Inc.","United States","USD"
"WM","WASTE MANAGEMENT INC","Equity","0.15","114.27","538,618.00","61,547,878.86","61,547,878.86","Industrials","US94106L1098","New York Stock Exchange Inc.","United States","USD"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.15","86.27","703,577.00","60,697,587.79","60,697,587.79","Health Care","US0718131099","New York Stock Exchange Inc.","United States","USD"
"ADI","ANALOG DEVICES INC","Equity","0.15","119.04","509,450.00","60,644,928.00","60,644,928.00","Information Technology","US0326541051","NASDAQ","United States","USD"
"DD","DUPONT DE NEMOURS INC","Equity","0.14","56.58","1,016,752.00","57,527,828.16","57,527,828.16","Materials","US26614N1028","New York Stock Exchange Inc.","United States","USD"
"EMR","EMERSON ELECTRIC","Equity","0.14","69.59","826,136.00","57,490,804.24","57,490,804.24","Industrials","US2910111044","New York Stock Exchange Inc.","United States","USD"
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.14","153.70","372,200.00","57,207,140.00","57,207,140.00","Real Estate","US2538681030","New York Stock Exchange Inc.","United States","USD"
"SCHW","CHARLES SCHWAB CORP","Equity","0.14","36.08","1,584,384.00","57,164,574.72","57,164,574.72","Financials","US8085131055","New York Stock Exchange Inc.","United States","USD"
"EA","ELECTRONIC ARTS INC","Equity","0.14","141.77","399,207.00","56,595,576.39","56,595,576.39","Communication","US2855121099","NASDAQ","United States","USD"
"COP","CONOCOPHILLIPS","Equity","0.14","38.15","1,482,859.00","56,571,070.85","56,571,070.85","Energy","US20825C1045","New York Stock Exchange Inc.","United States","USD"
"ETN","EATON PLC","Equity","0.14","102.09","553,094.00","56,465,366.46","56,465,366.46","Industrials","IE00B8KQN827","New York Stock Exchange Inc.","United States","USD"
"DXCM","DEXCOM INC","Equity","0.14","427.75","127,618.00","54,588,599.50","54,588,599.50","Health Care","US2521311074","NASDAQ","United States","USD"
"GIS","GENERAL MILLS INC","Equity","0.14","64.71","838,268.00","54,244,322.28","54,244,322.28","Consumer Staples","US3703341046","New York Stock Exchange Inc.","United States","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Equity","0.14","181.17","298,525.00","54,083,774.25","54,083,774.25","Industrials","US5024311095","New York Stock Exchange Inc.","United States","USD"
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.13","78.37","687,418.00","53,872,948.66","53,872,948.66","Utilities","US0255371017","New York Stock Exchange Inc.","United States","USD"
"GM","GENERAL MOTORS","Equity","0.13","29.69","1,741,484.00","51,704,659.96","51,704,659.96","Consumer Discretionary","US37045V1008","New York Stock Exchange Inc.","United States","USD"
"EBAY","EBAY INC","Equity","0.13","56.31","913,312.00","51,428,598.72","51,428,598.72","Consumer Discretionary","US2786421030","NASDAQ","United States","USD"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.13","67.41","748,870.00","50,481,326.70","50,481,326.70","Information Technology","US1924461023","NASDAQ","United States","USD"
"SRE","SEMPRA ENERGY","Equity","0.13","123.59","405,947.00","50,170,989.73","50,170,989.73","Utilities","US8168511090","New York Stock Exchange Inc.","United States","USD"
"XEL","XCEL ENERGY INC","Equity","0.12","68.63","728,660.00","50,007,935.80","50,007,935.80","Utilities","US98389B1008","NASDAQ","United States","USD"
"EXC","EXELON CORP","Equity","0.12","36.89","1,352,251.00","49,884,539.39","49,884,539.39","Utilities","US30161N1019","NASDAQ","United States","USD"
"HCA","HCA HEALTHCARE INC","Equity","0.12","134.42","365,211.00","49,091,662.62","49,091,662.62","Health Care","US40412C1018","New York Stock Exchange Inc.","United States","USD"
"GD","GENERAL DYNAMICS CORP","Equity","0.12","152.44","321,490.00","49,007,935.60","49,007,935.60","Industrials","US3695501086","New York Stock Exchange Inc.","United States","USD"
"CNC","CENTENE CORP","Equity","0.12","60.49","802,127.00","48,520,662.23","48,520,662.23","Health Care","US15135B1017","New York Stock Exchange Inc.","United States","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.12","462.58","102,686.00","47,500,489.88","47,500,489.88","Consumer Discretionary","US67103H1077","NASDAQ","United States","USD"
"DOW","DOW INC","Equity","0.12","46.16","1,024,341.00","47,283,580.56","47,283,580.56","Materials","US2605571031","New York Stock Exchange Inc.","United States","USD"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Equity","0.12","305.93","154,421.00","47,242,016.53","47,242,016.53","Real Estate","US78410G1040","NASDAQ","United States","USD"
